F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
40,144,1581,9,0,556,6,53,0.88878732480195,1824,901,0.49396929824561403,1.0,0,1,
9,144,1581,9,8,556,2,53,0.4719683120048751,1824,901,0.49396929824561403,0.5555555555555556,3,2,
48,77,1581,4,12,556,13,53,0.8451400329489291,938,556,0.5927505330490405,0.8125,0,1,
0,77,1581,4,0,556,1,53,0.04612850082372323,938,556,0.5927505330490405,1.0,0,1,
19,59,2118,3,12,1081,1,73,0.9365256124721604,669,87,0.13004484304932734,0.8947368421052632,0,1,
17,59,2118,3,12,1081,2,73,0.9064587973273942,669,87,0.13004484304932734,0.8823529411764706,0,1,
17,59,2118,3,0,1081,2,73,0.9020044543429844,669,87,0.13004484304932734,1.0,0,1,
0,59,2118,3,15,1081,1,73,0.9587973273942093,669,87,0.13004484304932734,1.0,0,1,
16,16,2118,5,16,1081,4,73,0.5631431244153414,681,227,0.3333333333333333,0.625,0,1,
16,16,2118,5,16,1081,4,73,0.29466791393826003,681,227,0.3333333333333333,0.625,0,1,
16,16,2118,5,16,1081,4,73,0.4864359214218896,681,227,0.3333333333333333,0.625,3,1,
30,7,2118,2,16,1081,11,73,0.9131832797427653,176,87,0.4943181818181818,0.13333333333333333,0,1,
30,7,2118,2,16,1081,11,73,0.9292604501607717,176,87,0.4943181818181818,0.3,0,1,
30,7,2118,2,16,1081,11,73,0.9453376205787781,176,87,0.4943181818181818,0.4666666666666667,0,1,
30,7,2118,2,16,1081,11,73,0.9614147909967846,176,87,0.4943181818181818,0.6333333333333333,0,1,
30,7,2118,2,16,1081,11,73,0.977491961414791,176,87,0.4943181818181818,0.8,0,1,
6,7,2118,2,10,1081,2,73,0.16720257234726688,176,87,0.4943181818181818,0.4166666666666667,0,1,
8,38,2118,2,0,1081,5,73,0.3788187372708758,471,292,0.6199575371549894,1.0,0,1,
16,38,2118,2,0,1081,5,73,0.42769857433808556,471,292,0.6199575371549894,1.0,0,1,
16,38,2118,2,0,1081,5,73,0.42668024439918534,471,292,0.6199575371549894,1.0,0,1,
18,38,2118,2,16,1081,5,73,0.9226069246435845,471,292,0.6199575371549894,0.6666666666666666,11,1,
0,0,2118,1,0,1081,1,73,4.683333333333334,26,0,0.0,1.0,0,0,
0,13,2118,1,4,1081,1,73,0.19338422391857507,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.19083969465648856,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.19592875318066158,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.2035623409669211,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.2010178117048346,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.20610687022900764,275,63,0.2290909090909091,1.0,0,1,
0,13,2118,1,4,1081,1,73,0.1984732824427481,275,63,0.2290909090909091,1.0,0,1,
3,13,2118,1,8,1081,1,73,0.28498727735368956,275,63,0.2290909090909091,0.6666666666666666,0,1,
8,13,2118,1,12,1081,4,73,0.9821882951653944,275,63,0.2290909090909091,0.75,0,1,
8,13,2118,1,12,1081,4,73,0.9007633587786259,275,63,0.2290909090909091,0.75,0,1,
8,13,2118,1,12,1081,4,73,0.9414758269720102,275,63,0.2290909090909091,0.75,5,2,
22,25,2118,5,16,1081,5,73,0.6780575539568345,469,33,0.07036247334754797,0.8181818181818182,0,1,
22,25,2118,5,16,1081,5,73,0.6726618705035972,469,33,0.07036247334754797,0.6818181818181818,0,1,
52,25,2118,5,12,1081,12,73,0.8633093525179856,469,33,0.07036247334754797,0.6730769230769231,28,1,
34,48,2118,6,16,1081,7,73,0.8657439446366783,767,423,0.5514993481095176,0.7058823529411765,20,1,
34,26,2118,6,12,1081,5,73,0.7426376440460948,605,107,0.1768595041322314,0.4117647058823529,0,0,
40,26,2118,6,12,1081,7,73,0.7964148527528809,605,107,0.1768595041322314,0.425,0,0,
48,26,2118,6,20,1081,9,73,0.26248399487836105,605,107,0.1768595041322314,0.3958333333333333,0,0,
48,26,2118,6,20,1081,9,73,0.31498079385403327,605,107,0.1768595041322314,0.3958333333333333,12,0,
21,27,2118,1,12,1081,4,73,0.884375,855,210,0.24561403508771928,0.23809523809523808,0,1,
