F61,F77,F88,F70,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
2,96,179,363,
0,5,5,272,
0,5,5,272,
0,5,5,272,
23,1596,1909,1863,
8,685,976,952,
5,193,325,460,
84,1594,1908,1861,
7,179,324,446,
36,580,780,847,
1,81,134,348,
1,64,67,331,
1,1097,1569,1364,
1,1097,1569,1364,
1,1097,1569,1364,
1,1097,1569,1364,
1,1097,1569,1364,
1,1097,1569,1364,
113,6390,3371,6657,
113,6390,3371,6657,
19,7954,3485,8221,
4,1711,1947,1978,
1,261,436,528,
1,261,436,528,
1,261,436,528,
0,95,179,362,
9,1286,1723,1553,
10,1308,1728,1575,
1,1308,1728,1575,
287,9513,3796,9780,
5,1056,1548,1323,
68,8491,3540,8758,
68,8491,3540,8758,
68,8491,3540,8758,
6,1280,1721,1547,
3,1156,1596,1423,
14,1308,1728,1575,
11,1257,1709,1524,
8,1308,1728,1575,
2,1056,1548,1323,
2,1056,1548,1323,
1,207,331,474,
3,207,331,474,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
0,204,328,471,
2,1308,1728,1575,
2,1308,1728,1575,
4,1308,1728,1575,
3,1308,1728,1575,
10,6402,3371,6669,
12,7993,3491,8260,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
3,3165,2205,3432,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
3,3165,2205,3432,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
2,1989,2001,2256,
3,3165,2205,3432,
3,3165,2205,3432,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
2,1989,2001,2256,
3,3165,2205,3432,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
0,9911,4139,10178,
2,1989,2001,2256,
88,1997,2009,2264,
58,1717,1948,1984,
58,1717,1948,1984,
33,1317,1732,1584,
88,1997,2009,2264,
11,1997,2009,2264,
11,1997,2009,2264,
9,1976,1996,2243,
9,1976,1996,2243,
2,661,915,928,
1,1319,1732,1586,
1,1319,1732,1586,
1,1319,1732,1586,
1,1319,1732,1586,
2,797,1191,1064,
0,847,1226,1114,
0,847,1226,1114,
0,847,1226,1114,
7,1398,1805,1665,
7,1398,1805,1665,
23,2143,2039,2410,
23,2143,2039,2410,
23,2143,2039,2410,
6,819,1203,1086,
9,1418,1810,1685,
8,1398,1805,1665,
8,1398,1805,1665,
8,1398,1805,1665,
6,2184,2046,2451,
1,2312,2059,2579,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
4,2144,2039,2411,
4,2144,2039,2411,
2,1321,1734,1588,
1,1321,1734,1588,
1,1706,1946,1973,
18,2025,2015,2292,
20,2142,2039,2409,
4,2026,2016,2293,
4,2026,2016,2293,
3,1585,1906,1852,
48,2176,2044,2443,
48,2176,2044,2443,
4,363,590,630,
4,363,590,630,
18,1616,1917,1883,
24,1664,1934,1931,
3,256,402,523,
23,7932,3483,8199,
287,9513,3796,9780,
9,1839,1968,2106,
9,1839,1968,2106,
9,1839,1968,2106,
18,9515,3796,9782,
33,3875,2605,4142,
6,1534,1892,1801,
6,1534,1892,1801,
13,8456,3536,8723,
9,1775,1959,2042,
31,1562,1898,1829,
31,1562,1898,1829,
31,1562,1898,1829,
31,1562,1898,1829,
5,86,154,353,
49,1788,1960,2055,
9,1781,1960,2048,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
3,1572,1903,1839,
22,1778,1960,2045,
3,1572,1903,1839,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
74,7338,3424,7605,
0,9911,4139,10178,
18,7974,3488,8241,
18,7974,3488,8241,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
6,3568,2375,3835,
10,5278,3122,5545,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
20,1869,1976,2136,
9,1463,1864,1730,
32,5222,3094,5489,
32,5222,3094,5489,
5,817,1201,1084,
31,1205,1650,1472,
4,96,179,363,
108,2933,2138,3200,
111,2954,2141,3221,
30,3585,2383,3852,
30,3585,2383,3852,
23,2090,2029,2357,
23,2090,2029,2357,
287,9513,3796,9780,
1,1633,1922,1900,
1,1633,1922,1900,
21,9513,3796,9780,
182,6693,3380,6960,
136,3719,2518,3986,
161,5362,3193,5629,
136,3719,2518,3986,
136,3719,2518,3986,
144,3899,2618,4166,
144,3899,2618,4166,
144,3899,2618,4166,
165,5449,3236,5716,
144,3899,2618,4166,
144,3899,2618,4166,
144,3899,2618,4166,
21,5362,3193,5629,
24,3863,2589,4130,
24,3863,2589,4130,
49,7278,3416,7545,
24,3863,2589,4130,
21,1825,1967,2092,
27,2036,2020,2303,
10,1067,1554,1334,
4,1555,1897,1822,
8,6885,3387,7152,
78,9518,3796,9785,
8,2169,2042,2436,
3,2042,2020,2309,
13,1392,1803,1659,
7,2724,2125,2991,
78,9518,3796,9785,
78,9518,3796,9785,
16,7137,3398,7404,
17,3861,2588,4128,
17,3861,2588,4128,
40,7278,3416,7545,
12,3503,2309,3770,
12,3503,2309,3770,
12,3503,2309,3770,
12,3503,2309,3770,
16,5362,3193,5629,
16,5362,3193,5629,
16,5362,3193,5629,
16,5362,3193,5629,
16,5362,3193,5629,
11,5362,3193,5629,
12,4294,2841,4561,
10,4294,2841,4561,
11,4294,2841,4561,
11,4294,2841,4561,
12,4294,2841,4561,
12,4294,2841,4561,
13,4294,2841,4561,
8,4147,2743,4414,
9,1694,1940,1961,
9,1694,1940,1961,
9,1694,1940,1961,
9,1694,1940,1961,
4,1694,1940,1961,
7,1694,1940,1961,
19,6886,3387,7153,
19,6886,3387,7153,
3,1403,1805,1670,
5,1550,1896,1817,
5,1550,1896,1817,
8,1602,1913,1869,
12,1921,1986,2188,
12,2734,2126,3001,
12,2734,2126,3001,
8,2546,2100,2813,
12,2734,2126,3001,
12,2734,2126,3001,
12,2734,2126,3001,
12,2734,2126,3001,
23,2036,2020,2303,
1,66,74,333,
15,1147,1590,1414,
29,1147,1590,1414,
3,610,796,877,
3,610,796,877,
5,1147,1590,1414,
7,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
27,2019,2013,2286,
1,226,359,493,
27,2019,2013,2286,
6,2019,2013,2286,
6,2019,2013,2286,
6,2019,2013,2286,
6,2019,2013,2286,
6,2019,2013,2286,
4,1710,1947,1977,
6,1972,1994,2239,
9,2019,2013,2286,
9,2019,2013,2286,
9,2019,2013,2286,
9,2019,2013,2286,
9,2019,2013,2286,
2,2019,2013,2286,
2,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
3,2019,2013,2286,
2,2019,2013,2286,
1,2019,2013,2286,
1,2019,2013,2286,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
7,1825,1967,2092,
6,1684,1938,1951,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
24,7970,3488,8237,
24,7970,3488,8237,
24,7970,3488,8237,
24,7970,3488,8237,
0,9911,4139,10178,
12,1590,1907,1857,
3,1042,1523,1309,
9,1332,1738,1599,
12,1590,1907,1857,
12,1590,1907,1857,
4,1590,1907,1857,
4,1591,1907,1858,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
10,1810,1964,2077,
3,52,59,319,
5,57,59,324,
8,2534,2099,2801,
5,53,59,320,
0,14,8,281,
0,39,38,306,
0,39,38,306,
0,39,38,306,
0,39,38,306,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,6607,3376,6874,
1,6677,3379,6944,
12,6677,3379,6944,
11,6607,3376,6874,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
