F61,F77,F88,F70,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
2,2414,1078,3432,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
2,2414,1078,3432,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
1,1238,874,2256,
2,2414,1078,3432,
2,2414,1078,3432,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
1,1238,874,2256,
2,2414,1078,3432,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
74,1246,882,2264,
44,966,821,1984,
44,966,821,1984,
19,566,605,1584,
74,1246,882,2264,
9,1246,882,2264,
9,1246,882,2264,
1,568,605,1586,
1,568,605,1586,
1,568,605,1586,
1,568,605,1586,
1,46,64,1064,
0,96,99,1114,
0,96,99,1114,
0,96,99,1114,
5,647,678,1665,
5,647,678,1665,
18,1392,912,2410,
18,1392,912,2410,
18,1392,912,2410,
18,1392,912,2410,
16,1392,912,2410,
8,667,683,1685,
7,647,678,1665,
7,647,678,1665,
7,647,678,1665,
5,1433,919,2451,
0,1561,932,2579,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
3,1393,912,2411,
3,1393,912,2411,
1,570,607,1588,
1,570,607,1588,
0,955,819,1973,
5,1274,888,2292,
7,1391,912,2409,
4,1275,889,2293,
4,1275,889,2293,
3,834,779,1852,
42,1425,917,2443,
42,1425,917,2443,
34,1119,849,2137,
34,1119,849,2137,
9,865,790,1883,
15,913,807,1931,
21,7181,2356,8199,
273,8762,2669,9780,
5,1088,841,2106,
5,1088,841,2106,
18,8764,2669,9782,
26,3124,1478,4142,
26,3124,1478,4142,
26,3124,1478,4142,
13,1797,973,2815,
2,783,765,1801,
2,783,765,1801,
25,7224,2362,8242,
13,7705,2409,8723,
32,7224,2362,8242,
50,8764,2669,9782,
8,1024,832,2042,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
21,811,771,1829,
21,811,771,1829,
21,811,771,1829,
21,811,771,1829,
39,1037,833,2055,
8,626,655,1644,
8,1030,833,2048,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
2,821,776,1839,
16,1027,833,2045,
2,821,776,1839,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
70,6587,2297,7605,
0,9160,3012,10178,
15,7223,2361,8241,
15,7223,2361,8241,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
6,2817,1248,3835,
9,4527,1995,5545,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
10,1118,849,2136,
9,712,737,1730,
29,4471,1967,5489,
29,4471,1967,5489,
2,66,74,1084,
97,2203,1014,3221,
30,2834,1256,3852,
30,2834,1256,3852,
12,876,793,1894,
19,1339,902,2357,
19,1339,902,2357,
273,8762,2669,9780,
0,882,795,1900,
0,882,795,1900,
17,8762,2669,9780,
168,5942,2253,6960,
122,2968,1391,3986,
147,4611,2066,5629,
122,2968,1391,3986,
122,2968,1391,3986,
130,3148,1491,4166,
130,3148,1491,4166,
130,3148,1491,4166,
116,2752,1182,3770,
118,2760,1206,3778,
151,4698,2109,5716,
130,3148,1491,4166,
130,3148,1491,4166,
130,3148,1491,4166,
14,4611,2066,5629,
21,3112,1462,4130,
21,3112,1462,4130,
46,6527,2289,7545,
21,3112,1462,4130,
128,2134,1005,3152,
129,9160,3012,10178,
128,2134,1005,3152,
12,1074,840,2092,
18,1285,893,2303,
1,1409,915,2427,
3,316,427,1334,
2,804,770,1822,
8,6134,2260,7152,
78,8767,2669,9785,
8,1418,915,2436,
1,1291,893,2309,
7,641,676,1659,
7,1973,998,2991,
78,8767,2669,9785,
78,8767,2669,9785,
16,6386,2271,7404,
14,3110,1461,4128,
14,3110,1461,4128,
37,6527,2289,7545,
9,2752,1182,3770,
9,2752,1182,3770,
9,2752,1182,3770,
9,2752,1182,3770,
11,4611,2066,5629,
11,4611,2066,5629,
11,4611,2066,5629,
11,4611,2066,5629,
11,4611,2066,5629,
9,4600,2060,5618,
11,4611,2066,5629,
11,3543,1714,4561,
9,3543,1714,4561,
11,3543,1714,4561,
11,3543,1714,4561,
12,3543,1714,4561,
12,3543,1714,4561,
13,3543,1714,4561,
8,3396,1616,4414,
5,943,813,1961,
5,943,813,1961,
5,943,813,1961,
5,943,813,1961,
3,943,813,1961,
3,943,813,1961,
18,6135,2260,7153,
18,6135,2260,7153,
11,7552,2396,8570,
2,652,678,1670,
3,799,769,1817,
3,799,769,1817,
6,851,786,1869,
7,1170,859,2188,
12,1983,999,3001,
12,1983,999,3001,
8,1795,973,2813,
12,1983,999,3001,
12,1983,999,3001,
12,1983,999,3001,
12,1983,999,3001,
19,1285,893,2303,
3,164,279,1182,
1,396,463,1414,
7,396,463,1414,
14,396,463,1414,
1,396,463,1414,
6,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
2,1268,886,2286,
24,1268,886,2286,
24,1268,886,2286,
24,1268,886,2286,
24,1268,886,2286,
24,1268,886,2286,
5,1268,886,2286,
5,1268,886,2286,
5,1268,886,2286,
5,1268,886,2286,
5,1268,886,2286,
1,959,820,1977,
3,1221,867,2239,
6,1268,886,2286,
6,1268,886,2286,
6,1268,886,2286,
6,1268,886,2286,
6,1268,886,2286,
1,1268,886,2286,
2,1268,886,2286,
1,934,811,1952,
2,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
0,934,811,1952,
1,1268,886,2286,
1,1268,886,2286,
1,1268,886,2286,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
2,1074,840,2092,
1,933,811,1951,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
18,7203,2358,8221,
0,9160,3012,10178,
22,7219,2361,8237,
22,7219,2361,8237,
0,9160,3012,10178,
9,839,780,1857,
0,291,396,1309,
6,581,611,1599,
9,839,780,1857,
9,839,780,1857,
3,839,780,1857,
3,840,780,1858,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
10,1059,837,2077,
0,454,523,1472,
6,1783,972,2801,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,5856,2249,6874,
1,5926,2252,6944,
9,5926,2252,6944,
8,5856,2249,6874,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
