F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
20,289,21104,2,12,2139,5,135,0.1136450019004181,2961,4561,1.5403579871664979,0.15,0,1,
18,289,21104,2,12,2139,5,135,0.12935512479412137,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.15469403268719117,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
13,289,21104,2,12,2139,4,135,0.5772203218041302,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.5427594070695553,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.585835550487774,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.5944507791714178,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.5599898644368427,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.551374635753199,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.5686050931204865,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.6030660078550615,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
13,289,21104,2,12,2139,4,135,0.5974914481185861,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.6002787279868238,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5716457620676549,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5744330419358925,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5371848473330799,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5399721272013176,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5802609907512987,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5830482706195363,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5888762194349424,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5916634993031801,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5544153047003674,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.557202584568605,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5458000760167236,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5485873558849613,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
13,289,21104,2,12,2139,4,135,0.5630305333840111,2961,4561,1.5403579871664979,0.23076923076923078,0,1,
14,289,21104,2,12,2139,4,135,0.5658178132522488,2961,4561,1.5403579871664979,0.21428571428571427,0,1,
12,13,21104,1,15,2139,1,135,0.07377049180327869,509,41,0.08055009823182711,0.5833333333333334,0,1,
246,13,21104,1,12,2139,1,135,0.7,509,41,0.08055009823182711,0.23170731707317074,0,1,
246,13,21104,1,12,2139,1,135,0.8262295081967214,509,41,0.08055009823182711,0.556910569105691,0,1,
246,13,21104,1,12,2139,1,135,0.7442622950819672,509,41,0.08055009823182711,0.34552845528455284,0,1,
246,13,21104,1,12,2139,1,135,0.9901639344262295,509,41,0.08055009823182711,0.9796747967479674,0,1,
246,13,21104,1,12,2139,1,135,0.9491803278688524,509,41,0.08055009823182711,0.8739837398373984,0,1,
246,13,21104,1,12,2139,1,135,0.8672131147540983,509,41,0.08055009823182711,0.6626016260162602,0,1,
246,13,21104,1,12,2139,1,135,0.9081967213114754,509,41,0.08055009823182711,0.7682926829268293,0,1,
246,13,21104,1,12,2139,1,135,0.7852459016393443,509,41,0.08055009823182711,0.45121951219512196,0,1,
32,13,21104,1,0,2139,1,135,0.3918032786885246,509,41,0.08055009823182711,1.0,2,0,
26,13,21104,1,8,2139,1,135,0.3655737704918033,509,41,0.08055009823182711,0.8076923076923077,0,1,
16,13,21104,1,0,2139,1,135,0.38524590163934425,509,41,0.08055009823182711,1.0,2,1,
16,13,21104,1,0,2139,1,135,0.38524590163934425,509,41,0.08055009823182711,1.0,2,1,
14,28,21104,1,8,2139,1,135,0.7255192878338279,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.787833827893175,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.7566765578635015,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.9436201780415431,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.9124629080118695,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.8501483679525222,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.8813056379821959,576,19,0.03298611111111111,0.21428571428571427,0,1,
14,28,21104,1,8,2139,1,135,0.9747774480712166,576,19,0.03298611111111111,0.21428571428571427,0,1,
