F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,42,23,3,68,1407,0.012863279296774305,1028,0,19,0,0.018285151606813863,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,231,76,3,310,1407,0.012863279296774305,1028,0,155,0,0.09844651212825256,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,295,323,3,621,1407,0.012863279296774305,1028,0,-28,0,0.07173532832196751,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,128,77,64,269,1407,0.012863279296774305,1028,0,51,0,0.18386409605254328,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,48,55,2,105,1407,0.012863279296774305,1028,0,-7,0,0.03539674156367721,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,140,113,2,255,1407,0.012863279296774305,1028,0,27,0,0.06323281103416882,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,140,113,2,255,1407,0.012863279296774305,1028,0,27,0,0.06323281103416882,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,140,113,2,255,1407,0.012863279296774305,1028,0,27,0,0.06323281103416882,0,1351,0,754,93,0,2198,597,0.13180849938489334,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,61,216,2,279,1407,0.012863279296774305,1028,0,-155,0,0.07677835614617978,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,448,440,13,901,1407,0.012863279296774305,1028,0,8,0,0.10242055939604643,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,70,61,1,132,1407,0.012863279296774305,1028,0,9,0,0.04520569359010971,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,540,95,26,661,1407,0.012863279296774305,1028,0,445,0,0.11050113183184021,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,625,164,22,811,1407,0.012863279296774305,1028,0,461,0,0.12155031971606281,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
